name	version	source	primary_reachability	reachable_in_roots	root_tiers	also_dev	also_foreign_target
serde_core	1.0.228	registry	release-normal	sentinel-ctl,sentinel-daemon,sentinel-dashboard-backend,sentinel-gaia,sentinel-gaia-loop,sentinel-nightrun,sentinel-projection-service	A,B,C	true	true
serde_derive	1.0.228	registry	release-build	sentinel-ctl,sentinel-daemon,sentinel-dashboard-backend,sentinel-gaia,sentinel-gaia-loop,sentinel-nightrun,sentinel-projection-service	A,B,C	true	true
serde_derive_internals	0.29.1	registry	release-build	sentinel-daemon	A	false	false
serde_json	1.0.149	registry	release-normal	sentinel-ctl,sentinel-daemon,sentinel-dashboard-backend,sentinel-gaia,sentinel-gaia-loop,sentinel-nightrun,sentinel-projection-service	A,B,C	true	true
serde_nanos	0.1.4	registry	release-normal	sentinel-daemon,sentinel-dashboard-backend,sentinel-gaia-loop	A	false	false
serde_path_to_error	0.1.20	registry	release-normal	sentinel-dashboard-backend	A	false	false
serde_repr	0.1.20	registry	release-build	sentinel-daemon,sentinel-dashboard-backend,sentinel-gaia-loop	A	false	false
serde_spanned	1.0.4	registry	release-normal	sentinel-daemon,sentinel-dashboard-backend,sentinel-gaia,sentinel-gaia-loop,sentinel-nightrun,sentinel-projection-service	A,B,C	true	false
serde_urlencoded	0.7.1	registry	release-normal	sentinel-ctl,sentinel-daemon,sentinel-dashboard-backend	A,B	false	false
serde_with	3.17.0	registry	release-normal	sentinel-daemon	A	false	false
serde_with_macros	3.17.0	registry	release-build	sentinel-daemon	A	false	false
serde_yaml	0.9.34+deprecated	registry	release-normal	sentinel-daemon	A	false	false
sha1	0.10.6	registry	release-normal	sentinel-daemon	A	false	false
sha2	0.10.9	registry	release-normal	sentinel-daemon,sentinel-dashboard-backend,sentinel-gaia-loop,sentinel-nightrun	A,C	false	false
sha2-const-stable	0.1.0	registry	release-normal	sentinel-daemon	A	false	false
sha3	0.10.8	registry	release-normal	sentinel-daemon	A	false	false
sharded-slab	0.1.7	registry	release-normal	sentinel-daemon,sentinel-dashboard-backend,sentinel-gaia-loop,sentinel-nightrun,sentinel-projection-service	A,C	true	false
shellexpand	3.1.2	registry	release-normal	sentinel-daemon	A	false	false
shlex	1.3.0	registry	release-build	sentinel-ctl,sentinel-daemon,sentinel-dashboard-backend,sentinel-gaia,sentinel-gaia-loop,sentinel-nightrun,sentinel-projection-service	A,B,C	true	true
signal-hook-registry	1.4.8	registry	release-normal	sentinel-ctl,sentinel-daemon,sentinel-dashboard-backend,sentinel-gaia-loop,sentinel-nightrun,sentinel-projection-service	A,B,C	true	false
signatory	0.27.1	registry	release-normal	sentinel-daemon,sentinel-dashboard-backend,sentinel-gaia-loop	A	false	false
signature	2.2.0	registry	release-normal	sentinel-daemon,sentinel-dashboard-backend,sentinel-gaia-loop	A	false	false
simd-adler32	0.3.8	registry	release-normal	sentinel-daemon	A	false	false
similar	2.7.0	registry	dev-bench-only			true	false
siphasher	1.0.2	registry	release-normal	sentinel-ctl,sentinel-daemon,sentinel-dashboard-backend	A,B	false	false
slab	0.4.12	registry	release-normal	sentinel-ctl,sentinel-daemon,sentinel-dashboard-backend,sentinel-gaia,sentinel-gaia-loop,sentinel-nightrun,sentinel-projection-service	A,B,C	true	true
slotmap	1.1.1	registry	release-normal	sentinel-daemon,sentinel-dashboard-backend,sentinel-gaia,sentinel-gaia-loop,sentinel-nightrun,sentinel-projection-service	A,B,C	true	false
smallvec	1.15.1	registry	release-normal	sentinel-ctl,sentinel-daemon,sentinel-dashboard-backend,sentinel-gaia,sentinel-gaia-loop,sentinel-nightrun,sentinel-projection-service	A,B,C	true	false
smol_str	0.2.2	registry	release-normal	sentinel-daemon,sentinel-dashboard-backend,sentinel-gaia,sentinel-gaia-loop,sentinel-nightrun,sentinel-projection-service	A,B,C	true	false
socket2	0.5.10	registry	release-normal	sentinel-daemon,sentinel-dashboard-backend	A	false	false
socket2	0.6.4	registry	release-normal	sentinel-ctl,sentinel-daemon,sentinel-dashboard-backend,sentinel-gaia-loop,sentinel-nightrun,sentinel-projection-service	A,B,C	true	false
spin	0.10.1	registry	release-normal	sentinel-daemon,sentinel-dashboard-backend,sentinel-gaia,sentinel-gaia-loop,sentinel-nightrun,sentinel-projection-service	A,B,C	true	false
spin	0.9.9	registry	release-normal	sentinel-daemon,sentinel-dashboard-backend,sentinel-gaia-loop,sentinel-nightrun,sentinel-projection-service	A,C	true	true
spki	0.7.3	registry	release-normal	sentinel-daemon,sentinel-dashboard-backend,sentinel-gaia-loop	A	false	false
sqlite-wasm-rs	0.5.2	registry	target-only			false	true
stabby	72.1.4	registry	release-normal	sentinel-daemon	A	false	false
stabby-abi	72.1.4	registry	release-normal	sentinel-daemon	A	false	false
stabby-macros	72.1.4	registry	release-build	sentinel-daemon	A	false	false
stable_deref_trait	1.2.1	registry	release-normal	sentinel-ctl,sentinel-daemon,sentinel-dashboard-backend,sentinel-gaia-loop	A,B	false	true
strsim	0.11.1	registry	release-normal	sentinel-ctl,sentinel-daemon,sentinel-dashboard-backend,sentinel-gaia,sentinel-gaia-loop,sentinel-nightrun,sentinel-projection-service	A,B,C	true	false
subtle	2.6.1	registry	release-normal	sentinel-ctl,sentinel-daemon,sentinel-dashboard-backend,sentinel-gaia-loop,sentinel-nightrun	A,B,C	false	false
syn	2.0.117	registry	release-build	sentinel-ctl,sentinel-daemon,sentinel-dashboard-backend,sentinel-gaia,sentinel-gaia-loop,sentinel-nightrun,sentinel-projection-service	A,B,C	true	true
sync_wrapper	1.0.2	registry	release-normal	sentinel-ctl,sentinel-daemon,sentinel-dashboard-backend	A,B	true	false
synstructure	0.13.2	registry	release-build	sentinel-ctl,sentinel-daemon,sentinel-dashboard-backend,sentinel-gaia-loop	A,B	false	false
target-lexicon	0.13.5	registry	release-normal	sentinel-daemon	A	false	false
tempfile	3.27.0	registry	release-normal	sentinel-daemon	A	true	false
