name	version	source	native_normal_build	native_all_edges	all_targets_all_edges	native_dev_context	foreign_target_context
fixedbitset	0.4.2	registry	true	true	true	false	false
fixedbitset	0.5.7	registry	true	true	true	false	false
flatbuffers	25.12.19	registry	true	true	true	false	false
flate2	1.1.9	registry	true	true	true	false	false
flume	0.11.1	registry	true	true	true	false	false
fnv	1.0.7	registry	true	true	true	false	false
foldhash	0.1.5	registry	true	true	true	false	false
foldhash	0.2.0	registry	true	true	true	true	true
form_urlencoded	1.2.2	registry	true	true	true	false	false
fs-err	3.3.0	registry	true	true	true	false	false
fs-set-times	0.20.3	registry	true	true	true	false	false
fs2	0.4.3	registry	true	true	true	false	false
fs_extra	1.3.0	registry	true	true	true	false	false
fuser	0.17.0	registry	true	true	true	false	false
futures	0.3.32	registry	true	true	true	true	false
futures-channel	0.3.32	registry	true	true	true	true	true
futures-core	0.3.32	registry	true	true	true	true	true
futures-executor	0.3.32	registry	true	true	true	true	false
futures-io	0.3.32	registry	true	true	true	true	true
futures-lite	2.6.1	registry	true	true	true	false	false
futures-macro	0.3.32	registry	true	true	true	true	true
futures-sink	0.3.32	registry	true	true	true	true	true
futures-task	0.3.32	registry	true	true	true	true	true
futures-util	0.3.32	registry	true	true	true	true	true
fxprof-processed-profile	0.8.1	registry	true	true	true	false	false
generator	0.8.9	registry	false	false	false	false	false
generic-array	0.14.7	registry	true	true	true	false	false
getrandom	0.2.17	registry	true	true	true	false	true
getrandom	0.3.4	registry	true	true	true	true	true
getrandom	0.4.1	registry	true	true	true	true	true
gimli	0.33.0	registry	true	true	true	false	false
git-version	0.3.9	registry	true	true	true	false	false
git-version-macro	0.3.9	registry	true	true	true	false	false
glam	0.30.10	registry	false	false	false	false	false
h2	0.4.14	registry	true	true	true	false	false
half	2.7.1	registry	false	true	true	true	false
hash32	0.3.1	registry	false	false	true	false	true
hashbrown	0.12.3	registry	false	false	false	false	false
hashbrown	0.14.5	registry	true	true	true	false	false
hashbrown	0.15.5	registry	true	true	true	false	false
hashbrown	0.16.1	registry	true	true	true	true	true
hashbrown	0.17.1	registry	true	true	true	true	true
hashlink	0.11.0	registry	true	true	true	true	false
heapless	0.9.2	registry	false	false	true	false	true
heck	0.5.0	registry	true	true	true	true	false
hermit-abi	0.5.2	registry	false	false	true	false	true
hex	0.4.3	registry	false	false	false	false	false
